threshold,iou,dice,precision,recall,f1,pred_max_mean
0.05,0.19027562548840413,0.3197169149966061,0.19029578901355093,0.9994434395436205,0.3197169149966061,0.726131796836853
0.1,0.274029177262385,0.4301772395059505,0.2742494115846074,0.9970780576040073,0.4301772395059505,0.726131796836853
0.15,0.35238519398258117,0.5211313988803103,0.3535398669446927,0.990816752469737,0.5211313988803102,0.726131796836853
0.2,0.4287365411521382,0.600161791629412,0.43239263803680983,0.9806595241408098,0.600161791629412,0.726131796836853
0.25,0.49631352899069436,0.663381730332241,0.5054860933911712,0.9647279810769445,0.663381730332241,0.726131796836853
0.3,0.557477194865233,0.7158720483396497,0.5781925596129971,0.9396131904828162,0.7158720483396497,0.726131796836853
0.35,0.6052042529378847,0.7540526407530068,0.6473463687150838,0.9028802003617643,0.7540526407530068,0.726131796836853
0.39999999999999997,0.6413750065005981,0.7815094100500602,0.7175354898766582,0.8580075135661611,0.7815094100500602,0.726131796836853
0.44999999999999996,0.651217995817555,0.7887728906383707,0.7763627787884914,0.8015861973006818,0.7887728906383706,0.726131796836853
0.49999999999999994,0.6422465687454852,0.7821560793226054,0.8266057178275354,0.7422429386392096,0.7821560793226054,0.726131796836853
0.5499999999999999,0.6084622671297758,0.7565763643502159,0.8683309300648883,0.6703074996521498,0.756576364350216,0.726131796836853
0.6,0.559041194577248,0.7171602604494854,0.9051002014632594,0.5938500069570057,0.7171602604494853,0.726131796836853
0.65,0.49555974165769645,0.6627080521817363,0.9376272912423625,0.512453040211493,0.6627080521817363,0.726131796836853
0.7,0.40988431788623453,0.5814438995970287,0.9622368632492367,0.4165855016001113,0.5814438995970287,0.726131796836853
0.75,0.31517455928102317,0.47928931875525654,0.9804301075268818,0.31716989007930985,0.4792893187552565,0.726131796836853
0.7999999999999999,0.19663818851149545,0.3286510332017646,0.9919411352487737,0.19695283150132184,0.3286510332017646,0.726131796836853
0.85,0.09967308896153579,0.18127767235926628,0.9979108635097493,0.09969389174899124,0.1812776723592663,0.726131796836853
0.9,0.021288437456518716,0.04168937329700272,1.0,0.021288437456518716,0.04168937329700272,0.726131796836853
