mode,n_samples,mean_iou_025,mean_dice_025,mean_iou_050,mean_dice_050,mean_pred_max
baseline,120,0.4158765892055846,0.5597076376552963,0.4787381096270474,0.5895467109412823,0.7261317849159241
dataset_full,120,0.205576024170208,0.31801989408138653,0.1149729162991775,0.1503256377924328,0.4690039527912935
conservative,120,0.1424047815750267,0.24123198698275328,0.0,0.0,0.3658492977420489
